picId	accuracy11	accuracy12	accuracy21	accuracy22	accuracy31	accuracy32	average
12	0.04783159977596916	0.12755093273591775	0.002507767094693344	0.006687378919182251	0.13407297358729667	0.35752792956612445	0.06147078015265306
46	0.06474831754085446	0.0863310900544726	0.11874475390384907	0.11874475390384907	0.12447353870830172	0.14521912849301868	0.10265553671766842
36	0.05840323905890221	0.05840323905890221	0.11349696031119544	0.11349696031119544	0.1695178588215007	0.1271383941161255	0.11380601939719943
52	0.15085091713839824	0.13408970412302065	0.16814739448447624	0.11209826298965082	0.12401466881789192	0.11023526117145949	0.14767099348025547
8	0.10247403967343982	0.13663205289791977	0.0836796178797814	0.11157282383970853	0.10065682043015828	0.1342090939068777	0.0956034926611265
43	0.10962505601106558	0.14616674134808744	0.21842827705152268	0.18202356420960222	0.23539047825541165	0.15692698550360776	0.18781460377266665
55	0.12396228654035409	0.09916982923228326	0.15959969415850095	0.047879908247550285	0.165039880512591	0.1320319044100728	0.14953395373714867
27	0.013913469144219986	0.055653876576879945	0.05844483290049858	0.14611208225124644	0.07861634213139557	0.07861634213139557	0.050324881392038036
18	0.08172580514556663	0.09534677266982773	0.14859537912270462	0.07429768956135231	0.24976043290670094	0.16650695527113396	0.16002720572499074
39	0.0810602518996357	0.06755020991636308	0.112253132299618	0.14967084306615733	0.08323300482844773	0.06936083735703977	0.09218212967590049
24	0.15537060695397215	0.13810720618130856	0.3388216450247053	0.1505873977887579	0.21291588642870432	0.11828660357150239	0.23570271280246058
21	0.02455869695860301	0.03929391513376482	0.03209748739210155	0.025677989913681237	0.01961641291368726	0.03138626066189962	0.02542419908813061
20	0.09448912481362096	0.1079875712155668	0.07865180801240158	0.06741583543920136	0.13144260991741624	0.09388757851244016	0.10152784758114626
74	0.0	0.0	0.017010318838358914	0.022680425117811886	0.02044639573838881	0.010223197869194406	0.012485571525582573
67	0.22100368629236913	0.19644772114877257	0.1438766099845475	0.12789031998626443	0.14471760883837104	0.12863787452299646	0.16986596837176257
50	0.1355101254018303	0.11615153605871169	0.16869828869307657	0.19279804422065894	0.1250734294325686	0.14294106220864983	0.14309394784249183
53	0.14336996606868363	0.1638513897927813	0.1110955381506551	0.0793539558218965	0.18803727015374833	0.10744986865928476	0.14750092479102903
11	0.12388671472666392	0.24777342945332784	0.19053587590235385	0.14290190692676538	0.11228418330235009	0.22456836660470017	0.14223559131045596
57	0.06781115048669797	0.05424892038935838	0.07731642824728416	0.06185314259782733	0.07510373652953445	0.06008298922362756	0.07341043842117219
41	0.13759211065269475	0.12230409835795089	0.21333254099551507	0.11851807833084171	0.20766456701160343	0.1845907262325364	0.18619640621993774
35	0.12882539081737132	0.09661904311302849	0.14564420848856938	0.09709613899237958	0.17801434952669754	0.07417264563612397	0.15082798294421276
51	0.009052617224206076	0.008046770865960957	0.1495362949347215	0.06646057552654289	0.1519734428899934	0.050657814296664466	0.103520785016307
10	0.16639363195906062	0.16639363195906062	0.16832435468113469	0.126243266010851	0.1682628613544798	0.1472300036851698	0.16766028266489172
2	0.039911859293250466	0.039911859293250466	0.08034033193945948	0.057385951385328204	0.05291682557829648	0.037797732555926056	0.05772300560366881
59	0.16493704295335418	0.18849947766097622	0.1967571240441236	0.11243264231092777	0.1997273906749321	0.11412993752853262	0.18714051922413663
60	0.16034184512975663	0.14252608455978366	0.24054307694447155	0.13363504274692864	0.16443422635722976	0.146163756761982	0.1884397161438193
64	0.1314173216489977	0.18398425030859678	0.0913926922347816	0.05483561534086896	0.191732104297938	0.2300785251575256	0.13818070606057242
23	0.12004835169657097	0.13719811622465253	0.18251893275137696	0.07822239975059012	0.09086669472520649	0.1038476511145217	0.1311446597243848
69	0.1280507187585873	0.1280507187585873	0.09355223838485228	0.10691684386840261	0.18815797192979936	0.18815797192979936	0.1365869763577463
37	0.16146139081474997	0.08073069540737499	0.12147438332371585	0.07288462999422951	0.13131776729708916	0.09192243710796241	0.13808451381185166
1	0.14598694625505904	0.23357911400809445	0.12559947049727943	0.10047957639782354	0.19248090480648705	0.2694732667290819	0.15468910718627518
71	0.12261359889719234	0.12261359889719234	0.14728169860765097	0.03682042465191274	0.1338581743612408	0.1338581743612408	0.13458449062202804
42	0.03961031789764964	0.03168825431811971	0.036549954695524384	0.029239963756419508	0.08078438629535747	0.04847063177721449	0.052314886296177164
16	0.11448635248491515	0.15264846997988687	0.0814167823041885	0.108555709738918	0.24706983100300053	0.20589152583583378	0.14765765526403474
48	0.14110894425727918	0.1058317081929594	0.04109323076131739	0.04109323076131739	0.08668565462828372	0.07584994779974825	0.0896292765489601
19	0.02851521433277253	0.02073833769656184	0.04486939200194613	0.020395178182702787	0.14855966910178448	0.06752712231899295	0.07398142514550105
63	0.06971009856126005	0.09294679808168006	0.094372068569277	0.094372068569277	0.058836747670382196	0.0882551215055733	0.07430630493363975
49	0.1139858604519363	0.1139858604519363	0.12266976829783216	0.1635596910637762	0.0773570020233462	0.10314266936446159	0.10467087692437156
15	0.09109394266778582	0.09109394266778582	0.11372124204911199	0.085290931536834	0.0975492661573679	0.1950985323147358	0.10078815029142191
14	0.16338575754990006	0.18672658005702863	0.16009169169802728	0.09148096668458702	0.08560911919731048	0.06114937085522178	0.13636218948174594
56	0.13120866334214354	0.11662992297079426	0.03313284239182018	0.025769988526971252	0.1321064263062743	0.10274944268265779	0.098815977346746
61	0.21138499602225203	0.15373454256163785	0.25878573362899254	0.09410390313781547	0.24348834721001608	0.11067652145909822	0.23788635895375354
22	0.14269237760891726	0.19976932865248415	0.09010782120305852	0.14417251392489364	0.14407852818607222	0.23052564509771556	0.12562624233268269
32	0.03529749368002208	0.031375549937797405	0.13001287402871597	0.11556699913663643	0.12230244180973579	0.09512412140757227	0.09587093650615795
26	0.12604997929416323	0.12604997929416323	0.14868384223452585	0.13009836195521013	0.12954236948676304	0.06477118474338152	0.13475873033848404
65	0.13744060353246584	0.0916270690216439	0.09574367263454936	0.06382911508969957	0.11854366651593069	0.049393194381637785	0.11724264756098196
62	0.18702179617451303	0.21373919562801488	0.18382905698715557	0.15756776313184764	0.22030135022994807	0.15735810730710575	0.19705073446387222
13	0.13440754950086006	0.2688150990017201	0.17637911333082612	0.1322843349981196	0.15939344093067323	0.23909016139600983	0.1567267012541198
7	0.12008800674968664	0.19214081079949863	0.15324337682379893	0.15324337682379893	0.0787248680824346	0.12595978893189536	0.11735208388530673
5	0.13865673270305506	0.13865673270305506	0.2417603986932117	0.15110024918325732	0.14596605968571533	0.1094745447642865	0.17546106369399403
58	0.03129127468712718	0.03129127468712718	0.018237182519875866	0.00683894344495345	0.05330214484746504	0.01998830431779939	0.03427686735148936
73	0.029118491193952357	0.04658958591032377	0.06839831447573555	0.10943730316117688	0.0933718469889148	0.0933718469889148	0.06362955088620091
34	0.09551926537580058	0.14327889806370087	0.10077841880318138	0.10077841880318138	0.11883982247411026	0.11883982247411026	0.10504583555103075
3	0.04112405305045872	0.061686079575688085	0.027760418483886416	0.11104167393554566	0.013174308418242171	0.013174308418242171	0.027352926650862436
54	0.08760274245774469	0.07008219396619575	0.15980158404205094	0.07990079202102547	0.12081234561300461	0.04832493824520184	0.12273889070426675
45	0.06484668917929846	0.10375470268687755	0.15669388283087857	0.25071021252940573	0.10032260749729739	0.08025808599783792	0.10728772650249147
66	0.07394125987574406	0.09858834650099207	0.2144708534510098	0.14298056896733988	0.17331829029217669	0.17331829029217669	0.15391013453964353
4	0.4788626393317981	0.15962087977726605	0.2116778805438796	0.1881581160390041	0.3171931685140035	0.14097474156177933	0.3359112294632271
47	0.09391723439815144	0.10957010679784335	0.13007943434371297	0.06503971717185648	0.13054114411601184	0.13054114411601184	0.11817927095262541
33	0.09026454027233859	0.12035272036311812	0.18233866404198806	0.18233866404198806	0.15906380671345663	0.10604253780897109	0.14388900367592775
28	0.1239644649837089	0.16528595331161186	0.11359811964607598	0.1514641595281013	0.13531057992426904	0.15786234324498055	0.12429105485135132
72	0.09100030545994252	0.18200061091988504	0.075978111794374	0.151956223588748	0.09559012951567308	0.19118025903134617	0.08752284892332986
17	0.06670369261629303	0.07782097471900852	0.10970097755386161	0.12798447381283853	0.07109369025679146	0.059244741880659556	0.0824994534756487
30	0.10364256118160402	0.034547520393868006	0.24032697947041876	0.28038147604882185	0.16968635753251599	0.14140529794376333	0.17121863272817958
44	0.10035093235103819	0.14049130529145346	0.06212979705152008	0.11183363469273615	0.09303274325324394	0.05581964595194636	0.08517115755193407
6	0.11351750411977136	0.13243708813973326	0.08842635584163751	0.11790180778885001	0.14264601351768386	0.1664203491039645	0.11486329115969758
68	0.11671588829506249	0.09337271063604999	0.12846648140438072	0.06423324070219036	0.10052896726912008	0.05026448363456004	0.11523711232285443
25	0.049363559917355214	0.06170444989669402	0.0657369807207658	0.04930273554057434	0.08770613130826439	0.0657795984811983	0.06760222398212846
38	0.0743357946220022	0.09911439282933626	0.12212035657422174	0.08141357104948116	0.08864159926373022	0.11818879901830696	0.09503258348665139
29	0.1457817671039311	0.19437568947190811	0.11534679968970213	0.15379573291960283	0.1224032639310026	0.10200271994250217	0.1278439435748786
70	0.19612696876607197	0.2241451071612251	0.23904107895497237	0.27318980451996844	0.19187303990465165	0.21928347417674474	0.209013695875232
9	0.15547517128797636	0.11307285184580099	0.18529493105046527	0.06737997492744191	0.20260441591479197	0.11051149958988654	0.18112483941774452
40	0.04348528565008254	0.08697057130016508	0.07658313121401217	0.07658313121401217	0.13247474068678186	0.23183079620186825	0.08418105251695886
31	0.0987187656001587	0.11846251872019045	0.14049901813785964	0.11239921451028771	0.149947401771651	0.1799368821259812	0.1297217285032231
